pos,titel,artiest,jaar,Datum,datum2
941,You Ain't Seen Nothing Yet,Bachman Turner Overdrive,1974,28-12-16 18:14,41270
940,Won't Get Fooled Again,The Who,1971,28-12-16 18:18,41270
939,You Give Love A Bad Name,Bon Jovi,1986,28-12-16 18:22,41270
938,Miracle,Ilse DeLange,2008,28-12-16 18:26,41270
937,Diamonds And Pearls,Prince,1991,28-12-16 18:30,41270
936,About A Girl (MTV Unplugged),Nirvana,1994,28-12-16 18:34,41270
935,After Midnight,J.J. Cale,1972,28-12-16 18:36,41270
934,Where The Wild Roses Grow,Nick Cave & Kylie Minogue,1995,28-12-16 18:40,41270
933,On Every Street,Dire Straits,1992,28-12-16 18:45,41270
932,Heart-Shaped Box,Nirvana,1993,28-12-16 18:50,41270
931,Driver's Seat,Sniff 'n the Tears,1980,28-12-16 18:54,41270
930,Memory,Barbra Streisand,1982,28-12-16 18:58,41270
929,Kingston Town,UB40,1990,28-12-16 19:11,41270
928,Moondance,Van Morrison,1970,28-12-16 19:15,41270
927,Wonderfull Days,Charly Lownoise & Mental Theo,1994,28-12-16 19:19,41270
926,Foto Van Vroeger,Rob de Nijs,1980,28-12-16 19:24,41270
925,Fool To Cry,The Rolling Stones,1976,28-12-16 19:29,41270
924,If You Could See Me Now,The Script,2013,28-12-16 19:32,41270
923,I Just Can't Help Believin',Elvis Presley,1972,28-12-16 19:37,41270
922,Could You Be Loved,Bob Marley & The Wailers,1980,28-12-16 19:41,41270
921,Since I've Been Loving You,Led Zeppelin,1970,28-12-16 19:48,41270
920,Lucy In The Sky With Diamonds,The Beatles,1967,28-12-16 19:52,41270
919,Layla,Derek & The Dominos,1971,28-12-16 19:59,41270
918,Eye Of The Tiger,Survivor,1982,28-12-16 20:10,41270
917,Zeg Maar Niets Meer,André Hazes,1982,28-12-16 20:13,41270
916,Wanted Dead Or Alive,Bon Jovi,1987,28-12-16 20:18,41270
915,Crazy,Seal,1991,28-12-16 20:22,41270
914,Give Me Love,Ed Sheeran,2012,28-12-16 20:26,41270
913,Little Lies,Fleetwood Mac,1987,28-12-16 20:29,41270
912,Tie Your Mother Down,Queen,1977,28-12-16 20:33,41270
911,Best Of You,Foo Fighters,2015,28-12-16 20:37,41270
910,Think,Aretha Franklin,1968,28-12-16 20:40,41270
909,Mercy,Muse,2015,28-12-16 20:43,41270
908,Porcelain,Moby,1999,28-12-16 20:47,41270
907,Mercedes Benz,Janis Joplin,1970,28-12-16 20:49,41270
906,Disarm,The Smashing Pumpkins,2003,28-12-16 20:52,41270
905,Stay With Me,Sam Smith,2014,28-12-16 20:55,41270
904,Time Is Running Out,Muse,2004,28-12-16 20:59,41270
903,The Best,Tina Turner,1989,28-12-16 21:09,41270
902,I Heard It Through The Grapevine,Creedence Clearwater Revival,1973,28-12-16 21:13,41270
901,Johnny B. Goode,Chuck Berry,1958,28-12-16 21:16,41270
900,Breakthru,Queen,1989,28-12-16 21:20,41270
899,I Wish,Stevie Wonder,1977,28-12-16 21:24,41270
898,One Word,Anouk,2005,28-12-16 21:28,41270
897,Everybody Needs Somebody To Love,The Blues Brothers,1989,28-12-16 21:31,41270
896,De Kapitein Deel II,Acda En De Munnik,2000,28-12-16 21:34,41270
895,I Heard It Through The Grapevine,Marvin Gaye,1969,28-12-16 21:38,41270
894,Baggy Trousers,Madness,1980,28-12-16 21:40,41270
893,The Unforgiven III,Metallica,2008,28-12-16 21:48,41270
892,Ordinary World,Duran Duran,1993,28-12-16 21:53,41270
891,Sweet Goodbyes,Krezip,2009,28-12-16 21:56,41270
890,Friday I'm In Love,The Cure,1992,28-12-16 21:59,41270
889,Epic,Faith No More,1989,28-12-16 22:08,41270
888,Candle In The Wind (1997),Elton John,1997,28-12-16 22:13,41270
887,Have A Little Faith In Me,John Hiatt,1989,28-12-16 22:17,41270
886,My Generation,The Who,1965,28-12-16 22:20,41270
885,Sovereign Light Cafe,Keane,2012,28-12-16 22:23,41270
884,21 Guns,Green Day,2009,28-12-16 22:28,41270
883,The Rising,Bruce Springsteen,2002,28-12-16 22:33,41270
882,Breaking The Habit,Linkin Park,2004,28-12-16 22:36,41270
881,Don't Cry,Guns N' Roses,1991,28-12-16 22:41,41270
880,7 Years,Lukas Graham,2015,28-12-16 22:45,41270
879,Undisclosed Desires,Muse,2009,28-12-16 22:48,41270
878,Bring Me To Life,Evanescence,2003,28-12-16 22:52,41270
877,Sexual Healing,Marvin Gaye,1982,28-12-16 22:56,41270
876,Belle Helene,Doe Maar,1982,28-12-16 22:59,41270
875,Drops Of Jupiter (Tell Me),Train,2001,28-12-16 23:07,41270
874,Sorry,Justin Bieber,2015,28-12-16 23:10,41270
873,Tranen Gelachen,Guus Meeuwis,2007,28-12-16 23:13,41270
872,I Am The Walrus,The Beatles,1967,28-12-16 23:18,41270
871,I Want You To Want Me,Cheap Trick,1979,28-12-16 23:22,41270
870,One Of These Days,Pink Floyd,1971,28-12-16 23:27,41270
869,El Condor Pasa,Simon & Garfunkel,1970,28-12-16 23:31,41270
868,Son Of A Preacher Man,Dusty Springfield,1968,28-12-16 23:33,41270
867,I Want It All,Queen,1989,28-12-16 23:37,41270
866,One More Time,Daft Punk,2000,28-12-16 23:41,41270
865,Turning Tables,Adele,2011,28-12-16 23:45,41270
864,Done With It,Kensington,2015,28-12-16 23:48,41270
863,Massachusetts,Bee Gees,1967,28-12-16 23:51,41270
862,In A Lifetime,Clannad,1986,28-12-16 23:54,41270
861,Het Werd Zomer,Rob de Nijs,1977,28-12-16 23:58,41270
860,Once In A Lifetime,Talking Heads,1981,29-12-16 0:07,41271
859,Tears Dry On Their Own,Amy Winehouse,2007,29-12-16 0:11,41271
858,Unchain My Heart,Joe Cocker,1987,29-12-16 0:14,41271
857,Everybody Wants To Rule The World,Tears For Fears,1985,29-12-16 0:18,41271
856,The Jean Genie,David Bowie,1973,29-12-16 0:22,41271
855,Come On Eileen,Dexy's Midnight Runners,1982,29-12-16 0:26,41271
854,Biko,Peter Gabriel,1980,29-12-16 0:32,41271
